Timestamp,Game State,Team,Player,Penalized,Pose X,Pose Y, Pose A, isFallen, Ball Age, Ball X, Ball Y
5352,R,13,6,U,-1230.5463,2024.3748,-0.53838897,false,-1.0,-10.0,-10.0
5368,R,13,2,U,-2593.7751,2163.2466,-1.848255,false,-1.0,-10.0,-10.0
5400,R,19,4,U,-767.7755,2532.5466,-1.6185483,false,180863.0,0.0,0.0
5589,R,13,1,U,-3858.541,2252.385,-1.8114148,false,-1.0,-10.0,-10.0
5592,R,19,5,U,-3012.9224,-2355.7898,1.5521206,false,299141.0,0.0,0.0
5640,R,19,3,U,-1618.2738,2271.8157,-1.5355422,false,367757.0,0.0,0.0
5710,R,19,7,U,-1082.5063,-2596.147,1.2263567,false,299440.0,0.0,0.0
5761,R,13,7,U,-1464.438,-1909.3878,1.743039,false,-1.0,-10.0,-10.0
5785,R,19,2,U,-3118.651,2366.0369,-1.6969548,false,299271.0,0.0,0.0
6031,R,19,4,U,-801.7316,2316.9402,-1.567401,false,181883.0,0.0,0.0
6287,R,19,6,U,-2093.6875,-2305.3276,1.4624488,false,368216.0,0.0,0.0
6320,R,13,4,U,-2049.6665,-2001.7115,1.4068233,false,-1.0,-10.0,-10.0
6322,R,13,2,U,-2673.4382,1985.8632,-1.4284997,false,-1.0,-10.0,-10.0
6348,R,13,5,U,-3253.691,-1912.2968,1.7161497,false,-1.0,-10.0,-10.0
6351,R,13,6,U,-1190.7649,1820.0348,-0.11012321,false,-1.0,-10.0,-10.0
6368,R,19,1,U,-4583.9883,2175.2578,-0.9901799,false,300023.0,0.0,0.0
6557,R,19,5,U,-3046.3613,-2274.274,1.5909919,false,300173.0,0.0,0.0
6588,R,13,1,U,-3921.1484,1954.1295,-1.7502605,false,-1.0,-10.0,-10.0
6666,R,19,3,U,-1915.0337,2298.7754,-1.5323397,false,368796.0,0.0,0.0
6734,R,19,7,U,-1176.2308,-2514.7751,1.1711707,false,300440.0,0.0,0.0
6747,R,13,7,U,-1350.0067,-1778.931,1.6953846,false,-1.0,-10.0,-10.0
6792,R,19,2,U,-3119.1226,2256.2876,-1.724672,false,300282.0,0.0,0.0
7117,R,19,4,U,-790.9974,2290.2344,-1.5708414,false,182895.0,0.0,0.0
7321,R,13,4,U,-1832.0963,-1911.0206,1.041903,false,-1.0,-10.0,-10.0
7330,R,13,6,U,-1297.8616,1746.9911,-0.12789442,false,-1.0,-10.0,-10.0
7330,R,19,6,U,-2063.294,-2226.7856,1.478841,false,369248.0,0.0,0.0
7332,R,13,2,U,-2609.0667,1698.7615,-1.0076768,false,-1.0,-10.0,-10.0
7340,R,13,5,U,-3181.8232,-1760.1096,1.3863161,false,-1.0,-10.0,-10.0
7354,R,19,1,U,-4550.742,2073.8296,-1.7036483,false,301039.0,0.0,0.0
7552,R,19,5,U,-3046.0247,-2123.8574,1.6765283,false,301173.0,0.0,0.0
7577,R,13,1,U,-3917.8943,1716.7975,-1.679687,false,-1.0,-10.0,-10.0
7752,R,13,7,U,-1291.4907,-1568.6597,1.4270253,false,-1.0,-10.0,-10.0
7764,R,19,3,U,-1904.9332,2227.7544,-1.1162273,false,369896.0,0.0,0.0
7782,R,19,7,U,-1164.0924,-2404.3877,1.1563781,false,301506.0,0.0,0.0
7850,R,19,2,U,-3107.02,2090.8965,-1.4780926,false,301303.0,0.0,0.0
8083,R,19,4,U,-794.04535,2147.9644,-1.5638506,false,183895.0,0.0,0.0
8320,R,13,4,U,-1808.9459,-1730.6461,0.4932421,false,-1.0,-10.0,-10.0
8322,R,13,2,U,-2619.3884,1423.7379,-0.5254846,false,-1.0,-10.0,-10.0
8330,R,13,6,U,-1367.5242,1704.0387,-0.26101488,false,-1.0,-10.0,-10.0
8340,R,19,6,U,-2063.0522,-2173.4548,1.5052291,false,370248.0,0.0,0.0
8348,R,13,5,U,-3213.7603,-1551.1525,1.2250828,false,-1.0,-10.0,-10.0
8449,R,19,1,U,-4469.513,1980.3049,-1.2636521,false,302055.0,0.0,0.0
8581,R,13,1,U,-3888.2769,1514.6609,-1.2152585,false,-1.0,-10.0,-10.0
8636,R,19,5,U,-3071.947,-1961.4465,1.4897245,false,302236.0,0.0,0.0
8745,R,13,7,U,-1281.4764,-1476.075,1.0203352,false,-1.0,-10.0,-10.0
8777,R,19,7,U,-1140.3881,-2294.477,1.0702555,false,302506.0,0.0,0.0
8815,R,19,3,U,-1889.5541,2097.5737,-1.1814702,false,370922.0,0.0,0.0
8915,R,19,2,U,-3132.939,1813.5104,-1.702654,false,302314.0,0.0,0.0
9161,R,19,4,U,-819.7047,1972.965,-1.4893072,false,184915.0,0.0,0.0
9323,R,13,2,U,-2638.5764,1212.1903,-0.036221754,false,-1.0,-10.0,-10.0
9330,R,13,6,U,-1399.6562,1496.19,-0.22511345,false,-1.0,-10.0,-10.0
9332,R,13,4,U,-1657.0503,-1657.0656,0.23990798,false,-1.0,-10.0,-10.0
9345,R,13,5,U,-3275.13,-1444.4807,0.8604592,false,-1.0,-10.0,-10.0
9399,R,19,6,U,-2059.2087,-2029.1672,1.4640874,false,371250.0,0.0,0.0
9417,R,19,1,U,-4396.6504,1908.0314,-1.845196,false,303088.0,0.0,0.0
9577,R,13,1,U,-3727.7935,1283.0166,-0.4302059,false,-1.0,-10.0,-10.0
9640,R,19,5,U,-3108.7559,-1782.5288,1.6304302,false,303272.0,0.0,0.0
9743,R,13,7,U,-1316.8481,-1498.3204,0.6703952,false,-1.0,-10.0,-10.0
9882,R,19,7,U,-993.34296,-2186.3857,1.2587622,false,303524.0,0.0,0.0
9896,R,19,3,U,-1772.323,1942.5178,-1.0271002,false,371955.0,0.0,0.0
9899,R,19,2,U,-3159.1497,1614.7803,-1.6396528,false,303347.0,0.0,0.0
10091,R,19,4,U,-810.2348,1881.0359,-1.4321455,false,185927.0,0.0,0.0
10321,R,13,4,U,-1546.2979,-1462.9742,-0.09271304,false,-1.0,-10.0,-10.0
10333,R,13,2,U,-2719.1375,993.6701,-0.19821918,false,-1.0,-10.0,-10.0
10342,R,13,6,U,-1462.1718,1384.4119,-0.062002733,false,-1.0,-10.0,-10.0
10343,R,13,5,U,-3184.1924,-1354.6328,0.4422861,false,-1.0,-10.0,-10.0
10362,R,19,6,U,-2073.8945,-1878.6755,1.4415108,false,372250.0,0.0,0.0
10441,R,19,1,U,-4427.991,1786.3689,-2.2908115,false,304104.0,0.0,0.0
10650,R,13,1,U,-3720.4856,1107.503,0.042688437,false,-1.0,-10.0,-10.0
10669,R,19,5,U,-3071.5552,-1662.9546,1.575652,false,304304.0,0.0,0.0
10744,R,13,7,U,-1223.1567,-1298.4562,0.025850546,false,-1.0,-10.0,-10.0
10910,R,19,7,U,-925.08716,-1992.8665,1.2650095,false,304557.0,0.0,0.0
10915,R,19,3,U,-1678.5834,1722.8062,-0.9577734,false,373028.0,0.0,0.0
10943,R,19,2,U,-3196.8286,1374.1649,-1.6313949,false,304413.0,0.0,0.0
11094,R,19,4,U,-788.6092,1586.3768,-1.5321523,false,186947.0,0.0,0.0
11323,R,13,2,U,-2768.8547,895.5792,-0.18647021,false,-1.0,-10.0,-10.0
11330,R,13,6,U,-1464.0127,1277.1306,0.039554343,false,-1.0,-10.0,-10.0
11342,R,13,5,U,-3042.89,-1222.9004,0.019740116,false,-1.0,-10.0,-10.0
11354,R,13,4,U,-1646.711,-1320.9333,0.03387484,false,-1.0,-10.0,-10.0
11354,R,19,6,U,-2016.6296,-1695.2084,1.4592321,false,373280.0,0.0,0.0
11414,R,19,1,U,-4405.0566,1800.3107,-2.1221852,false,305104.0,0.0,0.0
11579,R,13,1,U,-3810.067,963.83026,-0.084371224,false,-1.0,-10.0,-10.0
11749,R,13,7,U,-1152.5979,-1119.5559,-0.12529837,false,-1.0,-10.0,-10.0
11769,R,19,5,U,-3100.958,-1556.6702,1.6210741,false,305334.0,0.0,0.0
11836,R,19,7,U,-807.2725,-1776.9746,1.3646176,false,305571.0,0.0,0.0
11936,R,19,2,U,-3216.8794,1149.0693,-1.556334,false,305434.0,0.0,0.0
12001,R,19,3,U,-1549.3762,1614.1311,-0.020266159,false,374054.0,0.0,0.0
12094,R,19,4,U,-765.81696,1452.6633,-1.4492806,false,187947.0,0.0,0.0
12322,R,13,2,U,-2735.7285,718.38104,-0.36721176,false,-1.0,-10.0,-10.0
12331,R,13,6,U,-1648.8923,821.6627,0.01609873,false,-1.0,-10.0,-10.0
12342,R,13,4,U,-1682.1066,-1230.3184,0.09349778,false,-1.0,-10.0,-10.0
12348,R,13,5,U,-3045.7712,-1135.7083,-0.17148177,false,-1.0,-10.0,-10.0
12379,R,19,6,U,-2069.6152,-1589.9917,1.5874393,false,374282.0,0.0,0.0
12459,R,19,1,U,-4459.145,1782.7472,-2.262269,false,306119.0,0.0,0.0
12579,R,13,1,U,-3936.4844,857.0816,-0.09219541,false,-1.0,-10.0,-10.0
